seed,L,b,device,num_threads,time_median_s,time_iqr_s,dense_inv_time_s,dense_chol_time_s,kappa,forward_normwise,forward_componentwise,forward_worst_block,factorization_residual,selected_inverse_residual,peak_rss_bytes_noisy,precision_name
2,64,8,cpu,1,0.01057684999977937,0.0004124999977648258,0.014695099991513416,0.009618900003260933,63.79777931833044,4.522055309615659e-07,0.01476130720623106,1.0768940760124799e-06,1.0658141036401503e-14,1.0682796318661758e-06,0,fp32
0,128,8,cpu,1,0.020870199994533323,6.880000000819564e-05,,,93.67899929844427,4.2678218873575755e-07,0.0012029002052018423,9.993941979879184e-07,1.0658141036401503e-14,1.2105003106555046e-06,0,fp32
1,128,8,cpu,1,0.02106100000673905,0.0007335000118473545,,,79.31453177164629,4.4523145433422835e-07,0.1553855383731347,1.2583841341463247e-06,1.0658141036401503e-14,1.2596275009713054e-06,0,fp32
2,128,8,cpu,1,0.021111599999130704,0.00015279999934136868,,,73.84203362178748,4.0396468789736844e-07,0.0025136158670993314,1.061269703005457e-06,7.105427357601002e-15,9.214815577252011e-07,0,fp32
0,256,8,cpu,1,0.04215349999140017,0.0007048500046948902,,,77.19239745372224,4.301621784142316e-07,0.01297640635532016,1.1801569516607807e-06,1.0658141036401503e-14,1.1859554316373533e-06,0,fp32
1,256,8,cpu,1,0.04140420000476297,0.0011712999985320494,,,76.28143735327447,4.270427273958141e-07,0.003088891011340582,1.3112067314055153e-06,1.0658141036401503e-14,1.203684494521795e-06,0,fp32
2,256,8,cpu,1,0.042267299999366514,0.0005887500010430813,,,71.04942097465555,4.351476278490757e-07,0.003965375868670156,1.0874353068584697e-06,7.105427357601002e-15,1.085214663743006e-06,0,fp32
0,4,8,cpu,1,0.0006142199999885634,1.5609999536536634e-05,5.0212999994982965e-05,3.8296999991871414e-05,50.75372845703555,0.01431456013567792,0.6692735141758149,0.024399019952533893,3.552713678800501e-15,0.02673744824887292,0,bf16
1,4,8,cpu,1,0.000621829999727197,1.370999962091446e-05,5.0906500036944634e-05,3.831200003332924e-05,63.80637867588558,0.011998632414252513,24.74982324638844,0.02056108449865109,7.105427357601002e-15,0.02237759147139151,0,bf16
2,4,8,cpu,1,0.0006222299998626113,1.3090000720694661e-05,5.027100000006612e-05,3.8286999915726484e-05,54.47587442346595,0.012840310117594638,0.691511868079368,0.019220845997821503,3.552713678800501e-15,0.03618520357310617,0,bf16
